"locality","locality_description"
NULL,"Caroline Vein"
NULL,"Carona"
NULL,"Carone River; Paviche"
NULL,"Carorita Arriba, NW of Borquisimeto"
NULL,"Carpathian Mtns"
NULL,"Carpathian Mtns.; Baia Sprie"
NULL,"Carpathians"
NULL,"Carpenters Gulch; Blackfoot"
NULL,"Carr Boyd Rocks"
NULL,"Carr Boyd Rocks, Nickel Glory Hole"
NULL,"Carrara"
NULL,"Carrera, Massa-Carrara"
NULL,"Carretera A Sta Rosa"
NULL,"Carrickalinga Head; Normanville (Near)"
NULL,"Carrie Prospect, Newport"
NULL,"Carried From By Trade Winds"
NULL,"Carrizal"
NULL,"Carrizal Alto"
NULL,"Carrizo Plain"
NULL,"Carrizo Plains, Soda Lake"
NULL,"Carrock Fell"
NULL,"Carrock Fell, Dry Gill"
NULL,"Carroll Co., Chatham, Baldface Mtn"
NULL,"Carroll Co., Chatham, Slope Mt"
NULL,"Carsebach, East Germany, Saxony, East Germany. Locality Key: Carsebach, Meissen (Near); Near Meissen."
NULL,"Carson City"
NULL,"Carson District"
NULL,"Carson Hill"
NULL,"Carson Lake"
NULL,"Carswell Lake"
NULL,"Carswell Lake, south side of the central uplift just east of north end of Cluff Lake uranium mine"
NULL,"Cartagena"
NULL,"Cartagena, Cabo De Palos"
NULL,"Cartagena, Murcia Province"
NULL,"Carter Creek (Ne)"
NULL,"Carter Oil-Carnaham Property, Well No. F-563"
NULL,"Carters Creek Station"
NULL,"Cartersville"
NULL,"Cartersville District"
NULL,"Cartersville, Peruvian Ochre Company"
NULL,"Carterville"
NULL,"Carterville (Near)"
NULL,"Carterville, Joplin"
NULL,"Carthage"
NULL,"Carthage (Near)"
NULL,"Carthagena"
NULL,"Carthagerone"
NULL,"Casa Grande"
NULL,"Casa Grande (30 Mi)"
NULL,"Casa Grande (Near)"
NULL,"Casa Grande District"
NULL,"Casablanca"
NULL,"Casablanca (2 Km S Of)"
NULL,"Casablanca, Rar El Anz"
NULL,"Casadero"
NULL,"Casadero Grande"
NULL,"Casanova"
NULL,"Casapalca"
NULL,"Casapalca, Vauguardia"
NULL,"Casapedia"
NULL,"Casarza"
NULL,"Casas Grandes"
NULL,"Casas Grandes (Near), Apache Ranch"
NULL,"Cascabel"
NULL,"Cascade (Vicinity Of), Yale District"
NULL,"Cascade Canyon"
NULL,"Cascade Creek Valley"
NULL,"Cascade Gulch; Upper northeast side up Cascade Gulch; west side Storm Peak (lower mine dump)"
NULL,"Cascade Mountain"
NULL,"Cascade Mountain, Poverty Gulch. Sheet on first bench, near creek."
NULL,"Cascade Mtn"
NULL,"Cascade Mtns"
NULL,"Cascade Range"
NULL,"Cascade Range, W Part Of Mt Scott"
NULL,"Cascade Range; Santian District"
NULL,"Cascadell Creek Ithaca at Bridge to Snee Hall on Cornell University campus"
NULL,"Cascadeville"
NULL,"Cascadia"
NULL,"Cascadilla Creek?; ~ 1 m wide dike, creek bottom below steps access"
NULL,"Cascata (Waterfall)"
NULL,"Cascata Pocos De Caldas (Waterfall)"
NULL,"Cascatinha (Creek)"
NULL,"Case Colline, Pitigliano, near Grosetto"
NULL,"Case quarry (near)"
NULL,"Caserta, Roccamonfina"
NULL,"Caserta, Roccomonfina"
NULL,"Casey"
NULL,"Cash Creek"
NULL,"Cashiers Valley"
NULL,"Cashion"
NULL,"Casing Below Pbco3 Stope"
NULL,"Caslav (Near), Horky"
NULL,"Caslav (Near), Pribyslavice"
NULL,"Caslav, Hedjou"
NULL,"Casolo, Shaba"
NULL,"Casparizeche, Arnsberg"
NULL,"Casparizeche, Arnsberg (Near)"
NULL,"Casper"
NULL,"Casper Mtn"
NULL,"Cassandra"
NULL,"Cassel (Near), Lungen"
NULL,"Cassel, Buhl (Near)"
NULL,"Cassel, Hirzstein (Near)"
NULL,"Cassel, Homburg (Near)"
NULL,"Cassel, Weimer, Buhl (Near)"
NULL,"Cassiar Mtns., Crescent Lake"
NULL,"Cassiar Mtns., Dorsey Lake"
NULL,"Cassiar Mtns., Smart River"
NULL,"Cassiar Mtns., Smart River (Near)"
NULL,"Cassiar Mtns., Smart River Area"
NULL,"Cassidy Stope (se Of)"
NULL,"Cassiterite Extension, On Dump"
NULL,"Cassiterite Lode, Tunnel A"
NULL,"Cassiterite Lode, Tunnel B"
NULL,"Cassiterite mine, Jemna, Jos (nr.)"
NULL,"Cassler Grund"
NULL,"Cassler Ley"
NULL,"Castangias"
NULL,"Castangiol"
NULL,"Castel Del Oro"
NULL,"Castel Vecchio Di Rossa Barbena"
NULL,"Castelberg"
NULL,"Casteldelpaino"
NULL,"Castelf Ullit, Olot"
NULL,"Castelino"
NULL,"Castelluccio Di Moschetta"
NULL,"Castelnuovo"
NULL,"Castelnuovo S Of Teolo"
NULL,"Castelo Branco, Fazenda De Santa Clara (Ranch)"
NULL,"Castile"
NULL,"Castle Creek"
NULL,"Castle Creek Near Whites Ranch"
NULL,"Castle Creek Observation Station"
NULL,"Castle Creek, Elevation 3170'"
NULL,"Castle Dome"
NULL,"Castle Dome (Near)"
NULL,"Castle Dome Dist"
NULL,"Castle Dome District"
NULL,"Castle Dome Mtns"
NULL,"Castle Dome; Yuma"
NULL,"Castle Gate, Radicofani"
NULL,"Castle Hayne"
NULL,"Castle Hayne (Near)"
NULL,"Castle Lava Flow From Old Face Of Kapaa Quarry"
NULL,"Castle Point"
NULL,"Castle Point; Hoboken"
NULL,"Castle Rock"
NULL,"Castle Rock dike, 8.8 km WSW of Thorsen Ranch; NE SE 9, T24N, R22E"
NULL,"Castle Short Cut Road"
NULL,"Castle Short Cut Road, 1-2 Mi S Of Deep Creek"
NULL,"Castlerock"
NULL,"Castleton"
NULL,"Castleton Twp; .5 Mi W Of Blissville"
NULL,"Castleton Twp; 2 Mi S Of Castleton Corners"
NULL,"Castleton, Traycliff"
NULL,"Castleview Drift (n End Of)"
NULL,"Castro Verde"
NULL,"Castro Verde, Baixo Alentejo"
NULL,"Castrogiovanni"
NULL,"Cat Gap area"
NULL,"Cat Lake (N Of); Winnipeg River District"
NULL,"Cata Altas"
NULL,"Catalan"
NULL,"Catalaynd"
NULL,"Catalina Amphibolite unit"
NULL,"Catalina Amphibolite unit, Airport Empire Landing Road"
NULL,"Catalina Amphibolite unit, near Airport-in-the-Sky"
NULL,"Catalina Blueschist unit"
NULL,"Catalina Blueschist Unit"
NULL,"Catalina Blueschist unit. Ridge between the east fork of Little Springs Canyon and unnamed canyon NE of Little Harbor"
NULL,"Catalina Greenschist unit"
NULL,"Catalina Greenschist Unit. Upper west fork, Little Springs Canyon, near lower Buffalo Corral Reservoir"
NULL,"Catalonia"
NULL,"Catalonia, Tarragona"
NULL,"Cataluna, Bruges"
NULL,"Catania"
NULL,"Catania (Near) Raddusa"
NULL,"Catania, Aci Castello"
NULL,"Catania, Aci Trezza"
NULL,"Catania, Catania Province"
NULL,"Catania, Etna"
NULL,"Catania, Raddusa"
NULL,"Catanzaro (Near), Calabria, Tiriolo"
NULL,"Cataract Gulch; Mine dump at mouth of Cataract Gulch"
NULL,"Cataract Gulch; South of Cataract Gulch; below the highway"
NULL,"Catas, Yauricocha"
NULL,"Catasaqua"
NULL,"Catasauqua"
NULL,"Catawba"
NULL,"Catawba Springs"
NULL,"Catemu"
NULL,"Catharine Vein"
NULL,"Cathedral Peak (E Of)"
NULL,"Cathedral Peak (Near)"
NULL,"Cathedral Rock, Crater Lake"
NULL,"Cathkin Hills, Carmunnock Parish, Lanark Region, Lanarkshire (S)"
NULL,"Catoctin"
NULL,"Catoctin Furnace"
NULL,"Catorce"
NULL,"Catorce District"
NULL,"Catorniano, Signa"
NULL,"Catskill Formation; Penn Haven Junction"
NULL,"Cattle Creek"
NULL,"Cattle Creek downstream from [illegible] sandstone outcrop bordering granite"
NULL,"Cattle Grid Pit, Mount Grunson"
NULL,"Cattlegrid Pit, Mount Gunson"
NULL,"Cattlegrid pit, Woomera"
NULL,"Cattolica"
NULL,"Catugi"
NULL,"Cauca, near Purace Volcano"
NULL,"Caucasus"
NULL,"Caucasus Mtns"
NULL,"Caucasus Mtns. (S); Oni (Near), Gomi"
NULL,"Caucasus Mtns., Kuban Valley; Taktaul"
NULL,"Caucasus Mtns.; Grusia, Zaglik"
NULL,"Caucasus Mtns.; Kasbek"
NULL,"Caucasus Mtns.; Tbilisi"
NULL,"Caucasus Mtns.; Tiblisi, Gouvern, Daschicessan"
NULL,"Caucasus Mtns.; Tiflis"
NULL,"Caucasus Mtns.; Tyrny-Auz"
NULL,"Caucasus Mtns.; Zaglik"
NULL,"Caucausus (N.)"
NULL,"Caue (peak, mine or formation)"
NULL,"Caue Formation"
NULL,"Causey Pike (W Of)"
NULL,"Cava Nenni, Larquetto di Montecompati"
NULL,"Cava Novella, Monte Somma, Vesuvius"
NULL,"Cava Novella, Vesuvio, Napoli"
NULL,"Cava Novella, Vesuvius"
NULL,"Cava San Vito"
NULL,"Cava Turamurtas"
NULL,"Cave-In-Rock"
NULL,"Cave-In-Rock (Near)"
NULL,"Cave-In-Rock District"
NULL,"Cave-in-Rock National Park"
NULL,"Cave At W End Of Island"
NULL,"Cave Baron, E Of Zovon Taken From Quarries At Monte Merlo"
NULL,"Cave Below Crest Of N Spur Of Pata Penin"
NULL,"Cave Canyon, W. Edge, N 1/2 Sec. 18, T. 6 S., R. 18 E. (locality 3, Figure 2 In Cited Reference)"
NULL,"Cave conglomerate ledge"
NULL,"Cave Creek"
NULL,"Cave Creek; Phoenix (N Of)"
NULL,"Cave Damianta; Sondrio, Val Malenco"
NULL,"Cave Del Predil; Tarvisio"
NULL,"Cave Dell'aqua; Near Prato"
NULL,"Cave Hills (N)"
NULL,"Cave In April Fool Hill"
NULL,"Cave In Rock (N Of)"
NULL,"Cave In Rock; Cave-In-Rock"
NULL,"Cave Junction (11 Mi E Of)"
NULL,"Cave M. Serra, Pilcante"
NULL,"Cave Of Bellamar; Matanzas (Near)"
NULL,"Cave Of Bells"
NULL,"Cave Of Marino; Candoglia"
NULL,"Cave Of The Swords; Naica"
NULL,"Cave On N Side Of Se Penin"
NULL,"Cave River"
NULL,"Cave Springs Pass; Moab (Near)"
NULL,"Cave Springs Wash"
NULL,"Cave Stone Quarry"
NULL,"Cavendish"
NULL,"Cavnic"
NULL,"Cavnic (Near), Furlika"
NULL,"Cavnic, Baia Mare (8 Mi E Of)"
NULL,"Cavnic, Crisana-Maramures"
NULL,"Cavradi"
NULL,"Cavradi, Tavetsch"
NULL,"Cayanea"
NULL,"Caylus"
NULL,"Cayuga Lake"
NULL,"Cayuna Range"
NULL,"Cayuna Range; Crosby"
NULL,"Cayuna Range; Crosby (Near)"
NULL,"Caza De Gotos"
NULL,"Caza Oharmandjito Sandjak De Hudavendijnipar"
NULL,"Cebolla Creek"
NULL,"Cebolla Park"
NULL,"Cebollete Mtns.; Albuquerque"
NULL,"Cechy, Horni Slavkov"
NULL,"Cedar-creek, 1.5 Mi Se Of"
NULL,"Cedar Butte; Tilamook"
NULL,"Cedar Butte; Tilamook (Near)"
NULL,"Cedar City"
NULL,"Cedar City (12 Mi W Of)"
NULL,"Cedar City (Mountains W Of)"
NULL,"Cedar City, (Near)"
NULL,"Cedar Creek"
NULL,"Cedar Creek About 0.7 Mi S Of The Forks, Above #1414 (116351-284), S Of #1413 (116351-283)"
NULL,"Cedar Creek S Of #1413 (116351-283)"
NULL,"Cedar Creek, Crazy Basin"
NULL,"Cedar Glades (Near)"
NULL,"Cedar Grove"
NULL,"Cedar Gulch Near West Line Of Golden Map"
NULL,"Cedar Hill"
NULL,"Cedar Hill 1000 Ft. N.w. Pt. 7216"
NULL,"Cedar Hill Canyon"
NULL,"Cedar Hill Canyon 1000 Ft. W. Of Brewery"
NULL,"Cedar Hill Canyon 1500 Ft. Above Water Tunnel"
NULL,"Cedar Hill Canyon 1500 Ft. Due W. Of Water Tunnel"
NULL,"Cedar Hill Canyon 1500 Ft. W. Of Brewery"
NULL,"Cedar Hill Quarry"
NULL,"Cedar Hill Quarry, State Line"
NULL,"Cedar Lake"
NULL,"Cedar Park, Benton (Near)"
NULL,"Cedar Point"
NULL,"Cedar Springs"
NULL,"Cedar Street Crossin M C R R"
NULL,"Cedar? Creek Logging Road S Of Middle Anorthosite Body"
NULL,"Cedarton"
NULL,"Cedartown"
NULL,"Cedarville"
NULL,"Ceilhes"
NULL,"Ceilhes, Montpellier"
NULL,"Celebration Mine Road"
NULL,"Celje"
NULL,"Celle"
NULL,"Celle (Near), Wathlingen"
NULL,"Celle (Near), Wathlingen, Hanover"
NULL,"Cello"
NULL,"Celo Mtn"
NULL,"Celtor Chemical Works between Norton field and the Trinity River"
NULL,"Cement Creek"
NULL,"Cement Creek valley; North of Topeka Gulch"
NULL,"Cement Creek; Silverton (4.5 Mi N)"
NULL,"Cemetary N Of Bolsena"
NULL,"Cemetery 1000 Ft. Due S. Of Union"
NULL,"Cemetery Near Union, 1000 Ft. Se Of Taus?"
NULL,"Cenote"
NULL,"Cenozoic flow near jackpot"
NULL,"Centennial (Near)"
NULL,"Center"
NULL,"Center 1730 fissure"
NULL,"Center Cedar Hill Ridge"
NULL,"center N 1/4, NE 1/4, Sec. 14, T29N, R19E; 2.8 km NNE of Timber Butte"
NULL,"Center N1/2, NE1/4, Sec. 9, T28N, R20E"
NULL,"Center NE 1/4 sec. 31, T37N, R2E; West Butte; SE side of West Butte; low end of low spur outcrop on S slope of narrow talus-slide valley above lowest cliffs"
NULL,"center NE side of N end of Mesa"
NULL,"Center NW 1/4, sec. 29, T28N, R16E"
NULL,"Center Nw1/4, Sec.29, T28n, R16e"
NULL,"Center Nw1/4, Sec.34, T32n, R15e; 1.7km Ese Of Fort Assinniboine"
NULL,"Center of 3 inch vein crossing Balmacqueen discontinuity, Balmacqueen Sill, near Balmacquein and Sgeir nan Eathar Bana (alternative spellings Balmaqueen and Balmaquien)"
NULL,"Center Of 35 Ft Square Ne Of Lg 9"
NULL,"Center of 5 foot vein, sub horizontal in upper Bornesketaig picrite, Bornesketaig Sill, near Bornesketaig (also spelled Bornaskitaig)"
NULL,"Center Of Co"
NULL,"Center Of Complex"
NULL,"Center of dike on ridge north of Mount Baldy, west of Italian Mountain"
NULL,"Center Of Dike, N Of Spring Valley Road"
NULL,"Center Of E Working"
NULL,"center of island"
NULL,"Center Of Lenses"
NULL,"Center Of Median Valley"
NULL,"Center of N shore of Corbin Bay"
NULL,"Center Of Ore Body"
NULL,"Center Of Quarry (near); 1 1/2 Mi Ene Of Westerly Station"
NULL,"Center of S.W. Shore of Cinq Isles Bay"
NULL,"Center Of Sec. 11"
NULL,"Center of South Horse Mesa Plug, Red Rock Valley"
NULL,"Center of spillway, Harding Dam"
NULL,"Center of structure"
NULL,"Center of the Crooked Creek Impact Structure"
NULL,"Center On Top Of Hill; Near Prinal"
NULL,"Center S1/2, Sec. 32, T29n, R15e; Peak 2.8km Ne Of Centennial Mtn"
NULL,"center SE1/4, NE1/4, sec. 29, T29N, R20E; West side of Belcher Dome; 2.8km S of Cleveland"
NULL,"center SE1/4, sec. 7, T28N, R20E; ridge of NE side of suction Creek Dome"
NULL,"Center Sec. 20, T28n, R16e; Bowery Peak Road"
NULL,"Center sec. 25, T36N, R4E; East Butte Stock; Ribbon Gulch, 1 km SW of Mt. Royal"
NULL,"Center sec. 25, T36N, R4E; East Butte Stock; Ribbon Gulch, 1.1 km SW of Mt. Royal"
NULL,"Center sec. 31, T37N, R2E; West Butte Stock; SE side of West Butte; in plunge pool area of waterfall at base of high cliff ~ 200 m up from H71-16A"
NULL,"Center Sec. 33, T32n, R17e; 11km Se Of Havre; E Side Of Staten Coulee; N Side Of Havre-creek Road"
NULL,"Center Strafford"
NULL,"center W 1/2 SE 1/4 NW 1/4 T21N R3E; 2.3 km WNW of Emerson Junction"
NULL,"center W 1/2, SE 1/4, NW 1/4, sec. 8, T28N, R20E; 1 km NNW of Johnson Butte"
NULL,"Center W1/2, Nw1/4, Sec. 29, T28n, R16e; 200m W Of Pegmatite Peak"
NULL,"Center W1/2, Sec. 6, T28n, R15e"
NULL,"Center, coastal lava N of Drue"
NULL,"Centerville"
NULL,"Centerville (Near)"
NULL,"Central"
NULL,"Central Anomaly, Triple Junction"
NULL,"Central Asia"
NULL,"Central Caucasus (Central)"
NULL,"Central City"
NULL,"Central City District"
NULL,"Central Coalfield Of Scotland, Lanark Region, Lanarkshire (S)"
NULL,"Central Cone, Wnw Of"
NULL,"central crater"
NULL,"Central District"
NULL,"Central Dominican Republic"
NULL,"Central Dominican Republic, 8 km due W of La Vega"
NULL,"Central Dominican Republic, along the road from El Puerto to Piedra Blanca"
NULL,"Central Dominican Republic, aout 23 km S of Constanza on the road to San Jose de Ocoa"
NULL,"Central Dominican Republic, Bank of the Rio Yuna about 11 km SW of Monsenor Nouel"
NULL,"Central Dominican Republic, due E of El Puerto"
NULL,"Central Dominican Republic, exposed along the road to El Rio from Monsenor Nouel"
NULL,"Central Dominican Republic, exposed on the road to El Rio from Monsenor Nouel"
NULL,"Central Dominican Republic, N of Hatillo"
NULL,"Central Dominican Republic, N of the Don Juan Formation"
NULL,"Central Dominican Republic, NE of Jarabacoa"
NULL,"Central Dominican Republic, near Loma Caribe peridotite"
NULL,"Central Dominican Republic, near Pueblo Viejo"
NULL,"Central Dominican Republic, near San Cristobal"
NULL,"Central Dominican Republic, NW of La Vega"
NULL,"Central Dominican Republic, S of El Puerto"
NULL,"Central Dominican Republic, SW corner of Sierra Prieta"
NULL,"Central Dominican Republic, SW of Hatillo"
NULL,"Central Dominican Republic, SW slope of Loma Trinchera"
NULL,"Central Dominican Republic, W of El Tablazo"
NULL,"Central Dominican Republic, W of La Vega"
NULL,"Central Dominican Republic, W of Piedra Blanca"
NULL,"Central Fanunchuluyan Beach, Nw Of Maigo Fahang, Ne Saipan"
NULL,"Central Fefan, Near Ridge Crest"
NULL,"Central hill boulder"
NULL,"Central Hill: Manicouagan"
NULL,"Central Hill: Maskelynite, Manicouagan"
NULL,"Central Hokkaido"
NULL,"Central India, Nagpur"
NULL,"Central India, Thabia"
NULL,"Central Indian Ridge"
NULL,"Central interior of Jost Van Dyke"
NULL,"Central Kootenay Lake"
NULL,"Central Kyushu; 2 Km S Of Otsu; E Of Kumamoto"
NULL,"Central Line, Don Pedro Ii Rr ?"
NULL,"Central Massif (Mtns.)"
NULL,"Central Oklahoma"
NULL,"Central Oregon"
NULL,"Central Part Of Bo Calabazas On Rio Sorador"
NULL,"Central part of complex"
NULL,"Central Part Of Knife Creek Valley"
NULL,"Central part of northernmost La Guarabitas sill, 20m W of La Guarabitas-Repelon road, 2m above lower boundary, paleomagnetic site"
NULL,"Central part of northernmost La Guarabitas sill, 20m W of La Guarabitas-Repelon road, about 6m above lower contact of sill"
NULL,"Central Part Of Quarry Floor, Float; 4 Mi W Of Rockville"
NULL,"Central Part of the Ostrander Lake Granodiorite pluton, a member of the intrusive suite of Buena Vista Crest"
NULL,"Central peak NE of central station"
NULL,"Central Polle"
NULL,"Central Provinces"
NULL,"Central Provinces, Jhabua, Madhya Bharat"
NULL,"Central Provinces, Nagpur District"
NULL,"Central Provinces, Nagpur District, Kacharwadi"
NULL,"Central station"
NULL,"Central Tanzania"
NULL,"Central Tanzania, Morogaro Region (Corundum Deposit)"
NULL,"Central Tanzania, Morogoro Region"
NULL,"Central Tanzania, Morogoro Region, Dar Es Salaam (About 200 Mi W Of)"
NULL,"Central Texas"
NULL,"Central Valley"
NULL,"Central Western"
NULL,"Central, Oulmes"
NULL,"Centralia"
NULL,"Centre Point"
NULL,"Centreville"
NULL,"Centreville (Near)"
NULL,"Centreville And Gainsville (Between)"
NULL,"Centreville, Center Of Old Pit, S Side Route 29-211"
NULL,"Centreville, Leesburg, Loudoun"
NULL,"Ceradaes"
NULL,"Cerain, Guipuzcoa Province"
NULL,"Cerbat Mtn"
NULL,"Cercadinho Formation"
NULL,"Cercado"
NULL,"Cercado, Tapacari"
NULL,"Cercapuquio, Cerro De Pasco"
NULL,"Cercapuquio, Cerro De Pasco (Near)"
NULL,"Cerdana, Pininea Catalan"
NULL,"Cerhoritz"
NULL,"Cerhovice"
NULL,"Cerhovice (Near), Trenice"
NULL,"Cerillos, Carguaicolla"
NULL,"Cerillos, Carguaicolla (Near)"
NULL,"Cerna"
NULL,"Cerna Novina, Bulach"
NULL,"Cernosin (Near), Vlci Hora"
NULL,"Cerr O Dona Inez N Of Potrerillos"
NULL,"Cerrillos"
NULL,"Cerrillos Mtns, 6 Mi. From Los Cerrillos"
NULL,"Cerrillos Mtns. (6 Mi Fr); Los Cerrillos (?)"
NULL,"Cerrillos Mtns., Los Cerrillos (6 Miles From)"
NULL,"Cerrillos, Mina De Tiro"
NULL,"Cerritos Bayos"
NULL,"Cerritos Bayos (?)"
NULL,"Cerritos Bayos, Calama"
NULL,"Cerritos Blancos, W of Barquisimeto, Venezuela"
NULL,"Cerro"
NULL,"Cerro Aucanquelcha"
NULL,"Cerro Blanco"
NULL,"Cerro Blanco, Copiapo"
NULL,"Cerro Bonete (Hill)"
NULL,"Cerro Bonete (Hill); Sud Lipez"
NULL,"Cerro Cacao"
NULL,"Cerro Calanva"
NULL,"Cerro Chascon"
NULL,"Cerro Chicote (Hill)"
NULL,"Cerro Chino (cone Of Pacaya)"
NULL,"Cerro Chiote Grande (Big) (Hill); Taninani"
NULL,"Cerro Chorolque (Hill)"
NULL,"Cerro Colorado"
NULL,"Cerro Colorado (175 M S83w Of)"
NULL,"Cerro Colorado (175 M S83w)"
NULL,"Cerro Colorado (850 M N20e Of Summit)"
NULL,"Cerro Colorado Summit"
NULL,"Cerro Colorado Summit, (1 Km E Of)"
NULL,"Cerro Colorado, (1200 M N22e Of Summit)"
NULL,"Cerro Colorado, (1300 M N10e Of Summit)"
NULL,"Cerro Colorado, (1400 M S86e Of Summit)"
NULL,"Cerro Colorado, (750 M E Of)"
NULL,"Cerro Colorado: 2 feet above base"
NULL,"Cerro Colorado; 6 feet above base"
NULL,"Cerro Culebra (gold Hill)"
NULL,"Cerro De Cacheuta (Hill)"
NULL,"Cerro De Challacolla"
NULL,"Cerro De Challacolla, Oruro"
NULL,"Cerro De Galvan"
NULL,"Cerro De Gitenconona (Hill)"
NULL,"Cerro De La Malinche (S Side Of), Sierra De Guadalupe, Estranzuela (?), Atzcapozalco Prefecture"
NULL,"Cerro De La Rosilla, Descubridora"
NULL,"Cerro De Las Fajas, Santa Catarina"
NULL,"Cerro De Los Sacrapicios, Vicente Guerrero (Muleros)"
NULL,"Cerro De Los Sacrificios"
NULL,"Cerro de Mercado"
NULL,"Cerro De Mercado"
NULL,"Cerro De Mercado, Penascos De La Industria"
NULL,"Cerro De Mercado, Picacho Socavon 2"
NULL,"Cerro De Mercado, Picacho Socavon 4"
NULL,"Cerro De Oro (30 Mi E Of)"
NULL,"Cerro de Pasco"
NULL,"Cerro De Pasco"
NULL,"Cerro De Pasco (Near)"
NULL,"Cerro De Pasco (Near), Minasragra"
NULL,"Cerro De Pasco, Minasragra"
NULL,"Cerro De Pasco, Vulcani"
NULL,"Cerro De Pedro"
NULL,"Cerro De Potosi (Hill)"
NULL,"Cerro De Potosi (Hill) (?)"
NULL,"Cerro De San Joaquin"
NULL,"Cerro De Tazna (Hill)"
NULL,"Cerro De Urucum (Hill)"
NULL,"Cerro del Almirez"
NULL,"Cerro Del Morro (Hill); Loma Blanca"
NULL,"Cerro El Cojo, N of Barquisimeto"
NULL,"Cerro El Palmoso Shield (date)"
NULL,"Cerro Escobar (Near), Contractors Hill (1000 Ft S Of)"
NULL,"Cerro Escobar (Near), Contractors Hill (400 Ft N Of)"
NULL,"Cerro Gordo"
NULL,"Cerro Gordo (?)"
NULL,"Cerro Gordo Rd, S Of Rio Culebrinas"
NULL,"Cerro Gordo, Santiagina"
NULL,"Cerro Gordo; Nor este de Sevaruyo (northeast of Sevaruyo)"
NULL,"Cerro Guanaco"
NULL,"Cerro Janko Llavisa; Al este de Huari, norte de Chorolque (east of Huari, north of Chorolque)"
NULL,"Cerro la Cebadilla"
NULL,"Cerro La Cebadilla"
NULL,"Cerro La Dos Flow"
NULL,"Cerro Las Paracatas"
NULL,"Cerro Los Muertos"
NULL,"Cerro Mercado"
NULL,"Cerro Negro (Hill)"
NULL,"Cerro Negro (Hill), Nevado Illimani (Mtn.)"
NULL,"Cerro Pelon, Northern end of the level summit ridge"
NULL,"Cerro Pelon, road cut W side of"
NULL,"Cerro Pelon, Top of the last steep section before the level part of the ridge"
NULL,"Cerro Picacho"
NULL,"Cerro Picardio"
NULL,"Cerro Pintado"
NULL,"Cerro Pintado, Oficina Anita"
NULL,"Cerro Pintados"
NULL,"Cerro Pintados, Iquique (80 Km Se Of)"
NULL,"Cerro Prieto"
NULL,"Cerro Pululus (Hill)"
NULL,"Cerro Quetena, Calama (W Of)"
NULL,"Cerro San Cristobal"
NULL,"Cerro San Pedro"
NULL,"Cerro Sapo (Hill); Ayopaya"
NULL,"Cerro Tacora (Hill); Ollague"
NULL,"Cerro Tasna (Hill)"
NULL,"Cerro Tazna (Hill); Centi"
NULL,"Cerro Tecuitata Flow"
NULL,"Cerro Tlachiaque"
NULL,"Cerro Ubina (Hill)"
NULL,"Cerro Valdez, .5 miles south of"
NULL,"Cerro Warihuyn"
NULL,"Cerros de Giriscos"
NULL,"Cerros De Giriscos"
NULL,"Certova Zed"
NULL,"Cervandon"
NULL,"Cervandone, Val d'Ossola"
NULL,"Cervandone, Val d’Ossola"
NULL,"Cervantes"
NULL,"Cervendone"
NULL,"Cervenica"
NULL,"Cesano Geothermal Field, Lake Bracciano (E Of); Roma (N Of)"
NULL,"Ceska Lipa"
NULL,"Ceska Lipa (Near), Neubauer Berg"
NULL,"Ceska Ruda (Near), Zdar Hora"
NULL,"Ceska, Lipa"
NULL,"Ceske Budejovice"
NULL,"Ceske Budejovice (Near)"
NULL,"CeskÉ Budejovice, Jihocesky (?)"
NULL,"Ceske Budejovice, Jihocesky Region"
NULL,"Cesky Krumlov (Near), Nova Ves"
NULL,"Ceulanymaesmawr, Cardiganshire"
